python_file,url,full_adres,city,price,area,num_rooms,available
aemestelle.py,https://grasweg249amsterdam.nl,Grasweg 249 in Amsterdam,Amsterdam,,170.0,2.0,Beschikbaar
aemestelle.py,https://nieuwendammerdijk417amsterdam.nl,Nieuwendammerdijk 417 in Amsterdam,Amsterdam,,212.0,5.0,Beschikbaar
aemestelle.py,https://www.aemestelle.nl/woningen/geldersekade-37-1-amsterdam-9373505c42e247d1b14ca9ac1d16cbddb39677/,Geldersekade 37 1 in Amsterdam,Amsterdam,,115.0,4.0,Beschikbaar
aemestelle.py,https://www.aemestelle.nl/woningen/singel-463-a-amsterdam-937350fef99baa74294f3aab78c30cf33846cf/,Singel 463 A in Amsterdam,Amsterdam,,86.0,3.0,Beschikbaar
aemestelle.py,https://www.aemestelle.nl/woningen/amstelkade-88-3-amsterdam-937350e6433e5479c94a34998801bf2ab2d4e8/,Amstelkade 88 3 in Amsterdam,Amsterdam,,62.0,3.0,Beschikbaar
aemestelle.py,https://www.aemestelle.nl/woningen/kinkerstraat-59-1a-amsterdam-937350299a1bf2274241a3876fc9ebcf1ec9cd/,Kinkerstraat 59 1A in Amsterdam,Amsterdam,,30.0,2.0,Onder bod
aemestelle.py,https://www.aemestelle.nl/woningen/blasiusstraat-110-h-amsterdam-9373504244aba1486b4c60bfbb5c7ea7b42e90/,Blasiusstraat 110 H in Amsterdam,Amsterdam,,47.0,2.0,Onder bod
aland.py,https://aland.nl/aanbod/amsterdam/groenlandstraat-18/,Groenlandstraat 18 Amsterdam,Amsterdam,675000.0,136.0,5.0,Verkocht
aland.py,https://aland.nl/aanbod/amsterdam/g-j-scheurleerweg-90/,G.J. Scheurleerweg 90 Amsterdam,Amsterdam,675000.0,117.0,5.0,Aangekocht
aland.py,https://aland.nl/aanbod/amsterdam/jan-mankesstraat-16/,Jan Mankesstraat 16 Amsterdam,Amsterdam,795000.0,141.0,5.0,Beschikbaar
aland.py,https://aland.nl/aanbod/amsterdam/maaseikstaat-28/,Maaseikstaat 28 Amsterdam,Amsterdam,525000.0,91.0,4.0,Verkocht
aland.py,https://aland.nl/aanbod/amsterdam/empangeni-27/,Empangeni 27 Amsterdam,Amsterdam,570000.0,129.0,5.0,Verkocht
amstel_properties.py,https://amstel-property.com/woningen/wedderborg-22-amsterdam-9074382356621758604029b2de55830ec703f6/,Wedderborg 22 in Amsterdam,Amsterdam,450000.0,68.0,4.0,Beschikbaar
